1557345721,24,57.10,0.00,
1557345721,25,58.90,0.29,
1557345842,24,57.30,0.21,
1557345963,25,58.50,0.20,
1557346084,25,59.50,0.19,
1557346205,25,59.50,0.19,
1557346326,25,59.10,0.21,
1557346447,25,59.50,0.20,
1557346568,25,59.50,0.19,
1557346689,25,59.30,0.19,
1557346810,25,59.90,0.20,
1557346931,25,59.70,0.21,
1557347052,25,59.30,0.22,
1557347173,25,59.90,0.21,
1557347294,25,58.70,0.21,
1557347415,25,59.90,0.21,
1557347536,25,59.90,0.20,
1557347657,25,59.70,0.22,
1557347778,25,59.90,0.21,
1557347899,25,59.90,0.22,
1557348020,25,59.90,0.23,
1557348141,25,58.70,0.23,
1557348262,25,59.90,0.23,
1557348383,25,59.90,0.23,
1557348504,25,59.90,0.21,
1557348625,25,59.90,0.21,
1557348746,25,59.90,0.22,
1557348867,25,59.90,0.21,
1557348988,25,59.90,0.23,
1557349109,25,59.70,0.22,
1557349230,25,59.90,0.24,
1557349351,25,59.30,0.24,
1557349472,25,59.90,0.22,
1557349593,25,59.90,0.23,
1557349714,25,59.30,0.23,
1557349835,25,59.90,0.22,
1557349956,25,58.90,0.23,
1557350077,25,59.90,0.24,
1557350198,25,59.30,0.25,
1557350319,25,59.90,0.26,
1557350440,25,59.90,0.25,
1557350561,25,59.90,0.27,
1557350682,25,59.30,0.26,
1557350803,25,59.90,0.27,
1557350924,25,59.90,0.27,
1557351045,25,59.90,0.26,
1557351166,25,59.30,0.27,
1557351287,25,58.90,0.26,
1557351408,25,59.90,0.28,
1557351529,25,59.30,0.27,
1557351650,25,59.90,0.27,
1557351771,25,59.90,0.27,
1557351892,25,59.30,0.26,
1557352013,25,59.90,0.26,
1557352134,25,59.90,0.27,
1557352255,25,58.90,0.27,
1557352376,25,59.70,0.28,
1557352497,25,59.10,0.28,
1557352618,25,59.50,0.27,
1557352739,25,59.90,0.29,
1557352860,25,59.90,0.28,
1557352981,25,59.90,0.29,
1557353102,25,59.90,0.27,
1557353223,25,59.90,0.29,
1557353344,25,59.90,0.29,
1557353465,25,59.70,0.29,
1557353586,25,59.90,0.29,
1557353707,25,59.90,0.28,
1557353828,25,59.90,0.28,
1557353949,25,59.70,0.29,
1557354070,25,59.90,0.29,
1557354191,25,58.90,0.28,
1557354312,25,59.90,0.29,
1557354433,25,59.90,0.28,
1557354554,25,59.70,0.27,
1557354675,25,59.70,0.27,
