2019-05-08 20:19:58	88.00,12.50,0.33,
2019-05-08 20:20:01	88.00,12.50,0.32,
2019-05-08 20:20:03	88.00,12.50,0.34,
2019-05-08 20:20:06	88.00,12.50,0.33,
2019-05-08 20:20:08	87.00,12.50,0.33,
2019-05-08 20:20:10	87.00,12.50,0.33,
2019-05-08 20:20:13	87.00,12.40,0.33,
2019-05-08 20:20:15	87.00,12.50,0.34,
2019-05-08 20:20:18	87.00,12.50,0.34,
2019-05-08 20:20:20	87.00,12.50,0.34,
2019-05-08 20:20:22	87.00,12.50,0.34,
2019-05-08 20:20:25	87.00,12.50,0.34,
2019-05-08 20:20:27	87.00,12.50,0.34,
2019-05-08 20:20:30	87.00,12.50,0.35,
2019-05-08 20:20:32	87.00,12.50,0.34,
2019-05-08 20:20:35	87.00,12.50,0.35,
2019-05-08 20:20:37	86.00,12.50,0.34,
2019-05-08 20:20:40	86.00,12.50,0.35,
2019-05-08 20:20:42	86.00,12.50,0.35,
2019-05-08 20:20:44	86.00,12.50,0.36,
2019-05-08 20:20:47	86.00,12.50,0.35,
2019-05-08 20:20:49	86.00,12.50,0.36,
2019-05-08 20:20:52	86.00,12.50,0.36,
2019-05-08 20:20:54	86.00,12.40,0.34,
2019-05-08 20:20:56	86.00,12.40,0.35,
2019-05-08 20:20:59	86.00,12.50,0.35,
2019-05-08 20:21:01	86.00,12.40,0.35,
2019-05-08 20:21:04	86.00,12.40,0.34,
2019-05-08 20:21:06	86.00,12.50,0.34,
2019-05-08 20:21:09	86.00,12.50,0.35,
2019-05-08 20:21:11	86.00,12.50,0.36,
2019-05-08 20:21:14	86.00,12.40,0.37,
2019-05-08 20:21:16	86.00,12.40,0.34,
2019-05-08 20:21:18	86.00,12.40,0.36,
2019-05-08 20:21:21	86.00,12.50,0.36,
2019-05-08 20:21:23	86.00,12.40,0.36,
2019-05-08 20:21:26	86.00,12.40,0.35,
2019-05-08 20:21:28	85.00,12.50,0.38,
2019-05-08 20:21:30	85.00,12.40,0.36,
2019-05-08 20:21:33	85.00,12.40,0.36,
2019-05-08 20:21:35	85.00,12.40,0.37,
2019-05-08 20:21:38	85.00,12.40,0.36,
2019-05-08 20:21:40	85.00,12.40,0.36,
