 ,Area,Mean,Min,Max
1,0.011,255,255,255
2,0.002,255,255,255
3,0.002,255,255,255
4,5.236E-4,255,255,255
5,3.086,255,255,255
6,0.024,255,255,255
7,2.220,255,255,255
8,0.003,255,255,255
9,4.917,255,255,255
10,0.012,255,255,255
11,2.440,255,255,255
12,0.064,255,255,255
13,0.012,255,255,255
14,0.060,255,255,255
15,0.083,255,255,255
16,0.001,255,255,255
17,0.006,255,255,255
18,2.811,255,255,255
19,4.073,255,255,255
20,3.895,255,255,255
21,2.152,255,255,255
22,5.028,255,255,255
23,0.094,255,255,255
24,0.021,255,255,255
25,3.619,255,255,255
26,6.763,255,255,255
27,2.933,255,255,255
28,3.725,255,255,255
29,3.303,255,255,255
30,0.002,255,255,255
31,0.006,255,255,255
32,2.933,255,255,255
33,0.005,255,255,255
34,0.055,255,255,255
35,5.236E-4,255,255,255
36,0.640,255,255,255
37,0.002,255,255,255
38,5.236E-4,255,255,255
39,7.440,255,255,255
40,0.039,255,255,255
41,0.013,255,255,255
42,4.679,255,255,255
43,2.897,255,255,255
44,2.362,255,255,255
45,0.059,255,255,255
46,0.001,255,255,255
47,3.658,255,255,255
48,5.236E-4,255,255,255
49,4.579,255,255,255
50,0.073,255,255,255
51,5.236E-4,255,255,255
52,2.582,255,255,255
53,0.049,255,255,255
54,0.009,255,255,255
55,5.236E-4,255,255,255
56,5.330,255,255,255
57,3.166,255,255,255
58,0.088,255,255,255
59,0.106,255,255,255
60,0.012,255,255,255
61,4.936,255,255,255
62,0.005,255,255,255
63,0.003,255,255,255
64,3.221,255,255,255
65,0.014,255,255,255
66,0.020,255,255,255
67,3.862,255,255,255
68,0.001,255,255,255
69,6.111,255,255,255
70,2.301,255,255,255
71,0.001,255,255,255
72,0.016,255,255,255
73,1.572,255,255,255
74,0.003,255,255,255
75,0.002,255,255,255
76,4.528,255,255,255
77,0.167,255,255,255
78,0.112,255,255,255
79,0.023,255,255,255
80,0.177,255,255,255
81,0.004,255,255,255
82,0.005,255,255,255
83,3.596,255,255,255
84,0.002,255,255,255
85,0.026,255,255,255
86,0.031,255,255,255
