87,10.40,0.00,
1557359636,89,11.20,0.00,
1557359757,89,11.20,0.00,
1557359878,89,11.20,0.00,
1557359999,89,11.20,0.00,
1557360120,89,11.20,0.00,
1557360241,89,11.20,0.00,
1557360362,89,11.20,0.00,
1557360483,89,11.20,0.00,
1557360604,89,11.20,0.00,
1557360725,89,11.20,0.00,
1557360846,89,11.20,0.00,
1557360967,89,11.20,0.00,
1557361088,89,11.20,0.00,
1557361209,89,11.20,0.00,
1557361330,89,11.30,0.00,
1557361451,89,11.20,0.00,
1557361572,89,11.20,0.00,
1557361693,89,11.20,0.00,
1557361814,89,11.20,0.00,
1557361935,89,11.20,0.00,
1557362056,89,11.20,0.00,
1557362177,89,11.20,0.00,
1557362298,89,11.20,0.00,
1557362419,89,11.20,0.00,
1557362540,89,11.20,0.00,
1557362661,89,11.20,0.00,
1557362782,89,11.20,0.00,
1557362903,89,11.30,0.00,
1557363024,89,11.20,0.00,
1557363145,89,11.20,0.00,
1557363266,89,11.20,0.00,
1557363387,89,11.30,0.00,
1557363508,89,11.30,0.00,
1557363629,89,11.20,0.00,
1557363750,89,11.30,0.00,
1557363871,89,11.30,0.00,
1557363992,89,11.30,0.00,
1557364113,89,11.30,0.00,
1557364234,89,11.30,0.00,
1557364355,89,11.20,0.00,
1557364476,89,11.30,0.00,
1557364597,89,11.20,0.00,
1557364718,89,11.30,0.00,
1557364839,89,11.20,0.00,
1557364960,89,11.40,0.00,
1557365081,89,11.30,0.00,
1557365202,89,11.30,0.00,
1557365323,89,11.30,0.00,
1557365444,89,11.30,0.00,
1557365565,89,11.30,0.00,
1557365686,89,11.30,0.00,
1557365807,89,11.30,0.00,
1557365928,89,11.30,0.00,
1557366049,89,11.30,0.00,
1557366170,89,11.30,0.00,
1557366291,89,11.30,0.00,
1557366412,89,11.30,0.00,
1557366533,89,11.30,0.00,
1557366654,89,11.30,0.00,
1557366775,89,11.30,0.00,
1557366896,89,11.30,0.00,
1557367017,89,11.30,0.00,
1557367138,89,11.30,0.00,
1557367259,89,11.30,0.00,
1557367380,89,11.30,0.00,
1557367501,89,11.30,0.00,
1557367622,89,11.30,0.00,
1557367743,89,11.40,0.00,
1557367864,89,11.30,0.00,
1557367985,89,11.30,0.00,
1557368106,89,11.40,0.00,
1557368227,89,11.40,0.00,
1557368348,89,11.40,0.00,
1557368469,89,11.40,0.00,
1557368590,89,11.40,0.00,
1557368711,89,11.30,0.00,
1557368832,89,11.30,0.00,
1557368953,89,11.30,0.00,
1557369074,89,11.30,0.00,
1557369195,89,11.30,0.00,
1557369316,89,11.30,0.00,
